Dataset,ID,Country,gender,"age,days,",Breed,"isolation,location",type,Feed,Temperature,Lys,Housing,vaccine,vægt,humidity,"sequencing,method","DNA,extraction","Sample,replicate","location_name,farm,",farm_ID,G bases,avg Mbases,GCA_900557215.1_,GCF_000016825.1_,GCF_000159355.1_,GCF_000159435.1_,GCF_000160575.1_,GCF_000193635.1_,GCF_000423265.1_,GCF_000614735.1_,GCF_000615285.1_,GCF_001433855.1_,GCF_001434785.1_,GCF_001435345.1_,GCF_001435775.1_,GCF_001435955.1_,GCF_001436215.1_,GCF_001436295.1_,GCF_001436315.1_,GCF_001654615.1_,GCF_002088015.1_,GCF_002706375.1_,GCF_002706745.1_,GCF_002940945.1_,GCF_004745525.1_,GCF_005405305.1_,GCF_005405465.1_,GCF_009764355.1_,GCF_012843675.1_,GCF_013694365.1_,GCF_900240275.1_,S10C1039.fna,S10C1297.fna,S10C3913.fna,S10C455.fna,S12C1500.fna,S13C2782.fna,S14C1039.fna,S14C330.fna,S14C589.fna,S15C1039.fna,S16C442.fna,S16C670.fna,S18C2441.fna,S20C3157.fna,S24C362.fna,S28C2674.fna,S2C1297.fna,S2C205.fna,S2C3320.fna,S33C4056.fna,S36C1134.fna,S42C891.fna,S49C1120.fna,S4C569.fna,S52C595.fna,S5C1113.fna,S8C2455.fna,S9C3913.fna
Huang,SRR6323252,China,male,42,Arbor Acres broiler,duodenum,broiler,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Beijing,china1,"2,80",,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0
Huang,SRR6323384,China,male,42,Arbor Acres broiler,ileum,broiler,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Beijing,china1,"2,60",,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Huang,SRR6323414,China,male,42,Arbor Acres broiler,jejunum,broiler,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Beijing,china1,"3,00",,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0
Huang,SRR6323550,China,male,42,Arbor Acres broiler,colorectum,broiler,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Beijing,china1,"3,00",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huang,SRR6323556,China,female,42,Local yellow-feather chickens,cecum,layer,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Hunan,china2,"4,60",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Huang,SRR6323530,China,female,42,Local yellow-feather chickens,ileum,layer,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Hunan,china2,"2,50",,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0
Huang,SRR6323503,China,female,42,Local yellow-feather chickens,colorectum,layer,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Hunan,china2,"4,20",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
Huang,SRR6323350,China,female,42,Local yellow-feather chickens,jejunum,layer,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Hunan,china2,"1,70",,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
Huang,SRR6323197,China,female,42,Local yellow-feather chickens,duodenum,layer,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,pooled digesta from five chickens,China:Hunan,china2,"3,20",,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0
Huang,SRR6323247,China,male,42,Arbor Acres broiler,cecum,broiler,None,"reduced from 35 °C on day 1 to 24 °C on day 21 and then kept roughly constant,",20 h light and 4 h dark,cage,Combined Newcastle disease virus (NDV) and infectious bronchitis virus,,,HiSeq X Ten,,digesta from one chicken (biological replicate 3),China:Beijing,china3,"2,80",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
